idx,종목코드,회사명,현재가,발행주식수,자사주,매출_16,매출_17,매출_18,매출_19,매출_20,매출_21,매출_22,매출_23,영이_16,영이_17,영이_18,영이_19,영이_20,영이_21,영이_22,영이_23,당순_16,당순_17,당순_18,당순_19,당순_20,당순_21,당순_22,당순_23,자산_16,자산_17,자산_18,자산_19,자산_20,자산_21,자산_22,자산_23,부채_16,부채_17,부채_18,부채_19,부채_20,부채_21,부채_22,부채_23,자본_16,자본_17,자본_18,자본_19,자본_20,자본_21,자본_22,자본_23,지배_16,지배_17,지배_18,지배_19,지배_20,지배_21,지배_22,지배_23,자본금_16,자본금_17,자본금_18,자본금_19,자본금_20,자본금_21,자본금_22,자본금_23,ROA_16,ROA_17,ROA_18,ROA_19,ROA_20,ROA_21,ROA_22,ROA_23,ROE_16,ROE_17,ROE_18,ROE_19,ROE_20,ROE_21,ROE_22,ROE_23,EPS_16,EPS_17,EPS_18,EPS_19,EPS_20,EPS_21,EPS_22,EPS_23,PER_16,PER_17,PER_18,PER_19,PER_20,PER_21,PER_22,PER_23,PBR_16,PBR_17,PBR_18,PBR_19,PBR_20,PBR_21,PBR_22,PBR_23,발주_16,발주_17,발주_18,발주_19,발주_20,발주_21,발주_22,발주_23
885,199820,제일전기공업 (*),"20,850/ -300","11,110,000/ 0",0,"1,064","1,232","1,283","1,461","1,513", , , ,166,204,146,169,191, , , ,132,153,122,141,144, , , ,658,897,925,"1,014","1,333", , , ,350,514,419,379,302, , , ,308,384,506,635,"1,031", , , ,308,384,506,635,"1,031", , , ,48,48,48,48,56, , , ,22.53,N/A(IFRS),13.44,14.57,12.26, , , ,50.91,N/A(IFRS),27.54,24.76,17.27, , , ,"1,374","1,589","1,276","1,472","1,473", , , , , , , ,18.05, , , , , , , ,2.87, , , ,"9,600","9,600","9,600","9,600","11,110", , , 
886,299030,하나기술 (*),"67,800/ +500","7,424,802/ 0","245,755",282,592,864,593,880,"2,050","2,917","3,690",8,52,46,57,-45,258,444,637,14,43,27,43,-305,228,358,749,182,351,696,"1,016","1,195","1,703","2,362","3,296",166,283,622,854,660,899,"1,105","1,290",16,68,73,162,535,804,"1,257","2,006",16,68,73,162,535,804,"1,257","2,006",12,12,12,12,19,19,19,19, ,16.11,N/A(IFRS),5.04,-27.58,15.7,17.61,26.48, ,101.64,N/A(IFRS),36.6,-87.41,33.98,34.69,31.66,318,957,565,870,"-5,514","3,094","4,815","6,956", , , , ,N/A,21.92,14.08,9.75, , , , ,9.57,6.2,3.98,2.5,"4,488","4,488","4,488","4,664","7,280", , , 
887,340570,티앤엘 (*),"46,050/ -650","8,128,000/ 0",0,235,266,263,326,406,675,901,"1,068",45,57,53,77,96,215,301,360,42,48,47,73,100,192,253,302,213,298,365,433,795,"1,007","1,243","1,511",47,93,93,101,75,111,136,155,165,205,272,332,720,896,"1,107","1,356",165,205,272,332,720,896,"1,107","1,356",20,20,20,20,24,35,35,35,20.25,18.8,N/A(IFRS),18.25,16.36,21.36,22.45,21.9,28.15,25.9,N/A(IFRS),24.1,19.09,25.19,25.22,24.49,650,750,728,"1,138","1,506","2,504","3,107","3,709", , , , ,14.21,18.39,14.82,12.41, , , , ,2.42,4.18,3.38,2.76,"6,400","6,400","6,400","6,400","8,128", , , 
888,348150,고바이오랩 (*),"30,450/ -350","16,161,543/ 0",0, , ,1,6,46, , , , , ,-24,-74,-123, , , , , ,-84,-441,-551, , , , , ,93,353,585, , , , , ,212,889,31, , , , , ,-119,-536,554, , , , , ,-119,-536,554, , , , , ,1,35,78, , , , , , ,-197.57,-117.35, , , , , , ,완전잠식,"-6,234.11", , , , , ,-785,"-3,725","-4,026", , , , , , , ,N/A, , , , , , , ,12.15, , , , , ,"6,885","7,099","15,519", , , 
889,330860,네패스아크 (*),"52,500/ -1,700","12,184,045/ 0","332,533", , , ,547,678, , , , , , ,182,87, , , , , , ,47,-351, , , , , , ,"1,589","3,019", , , , , , ,"1,272","1,539", , , , , , ,316,"1,481", , , , , , ,316,"1,481", , , , , , ,31,54, , , , , , , ,-15.26, , , , , , , ,-39.12, , , , , , ,676,"-3,894", , , , , , , ,N/A, , , , , , , ,3.81, , , , , , ,"6,286","10,782", , , 
890,290690,소룩스 (*),"16,750/ -200","8,256,843/ 0",0,382,561,544,711,576, , , ,41,46,29,69,51, , , ,27,37,23,58,44, , , ,349,487,438,482,666, , , ,262,364,291,279,236, , , ,87,124,147,203,430, , , ,87,124,147,203,430, , , ,6,6,6,6,8, , , ,N/A(IFRS),8.74,5.07,12.6,7.75, , , ,N/A(IFRS),34.65,17.32,33.1,14.04, , , ,439,590,378,935,670, , , , , , , ,28.51, , , , , , , ,3.62, , , ,"6,200","6,200","6,200","6,200","8,158", , , 
891,348350,위드텍 (*),"22,500/ -350","10,183,600/ 0",0,181,317,432,589,556, , , ,21,63,45,127,88, , , ,22,54,46,116,85, , , ,446,489,684,814,"1,157", , , ,128,117,311,305,273, , , ,318,372,373,509,884, , , ,318,372,373,509,884, , , ,5,5,5,5,25, , , ,5.02,11.64,N/A(IFRS),15.5,8.61, , , ,7.1,15.77,N/A(IFRS),26.34,12.19, , , ,278,695,592,"1,484","1,009", , , , , , , ,24.18, , , , , , , ,2.81, , , ,"7,822","7,822","7,822","8,000","10,184", , , 
892,347000,센코 (*),"21,750/ -500","8,251,244/ 578,035","930,348",100,131,147,198,201, , , ,7,2,0,23,12, , , ,4,-5,-31,-24,11, , , ,143,155,164,196,389, , , ,49,50,203,71,79, , , ,95,105,-39,125,310, , , ,95,105,-39,125,310, , , ,11,12,4,32,39, , , ,2.66,-3.03,N/A(IFRS),-13.38,3.76, , , ,4.5,-4.53,N/A(IFRS),-56,5.06, , , ,103,-116,-791,-534,165, , , , , , , ,149.72, , , , , , , ,6.2, , , ,"3,151","3,151","3,151","6,397","7,771", , , 
893,301300,바이브컴퍼니 (*),"43,750/ -1,900","5,394,170/ 0","221,040",120,132,141,163,256, , , ,-1,7,13,-3,-34, , , ,-5,5,8,-8,-26, , , ,185,219,318,315,590, , , ,147,177,165,165,260, , , ,38,42,154,149,330, , , ,38,42,154,149,318, , , ,20,20,24,24,27, , , ,-2.77,N/A(IFRS),2.85,-2.45,-5.69, , , ,-12.14,N/A(IFRS),7.81,-5.13,-11.02, , , ,-125,116,174,-164,-530, , , , , , , ,N/A, , , , , , , ,5.65, , , ,"3,974","3,974","4,725","4,725","5,394", , , 
894,214610,미코바이오메드 (*),"15,500/ +0","18,291,100/ 0","17,001",90,30,36,41,457, , , ,-12,-44,-84,-117,35, , , ,-30,-130,-88,-146,-58, , , ,82,164,242,250,710, , , ,34,141,185,240,150, , , ,48,24,57,10,559, , , ,48,24,57,10,560, , , ,24,46,57,65,91, , , ,-31.99,-105.46,-43.13,-59.52,-12.03, , , ,-61.78,-362.86,-216.46,-434.64,-20.27, , , ,-756,"-2,756",-847,"-1,233",-360, , , ,N/A,N/A,N/A,N/A,N/A, , , ,9.06,19.5,10.25,61.51,3.65, , , ,"4,012","9,103","11,463","12,974","18,152", , , 
895,304840,피플바이오 (*),"24,000/ +600","11,244,940/ 581,082","50,000",0,0,1,9,5, , , ,-17,-20,-38,-41,-46, , , ,-35,-42,-35,-40,-44, , , ,41,24,65,44,107, , , ,145,7,11,17,18, , , ,-103,17,54,27,88, , , ,-103,17,54,27,88, , , ,12,22,25,25,28, , , ,N/A(IFRS),-130.55,-79.66,-73.56,-58.39, , , ,N/A(IFRS),완전잠식,-99.56,-98.6,-76.03, , , ,-695,-811,-376,-403,-431, , , , , , , ,N/A, , , , , , , ,33.93, , , ,"4,978","8,939","9,935","9,935","11,245", , , 
896,348210,넥스틴 (*),"59,800/ -400","9,563,400/ 0","83,070",26,103,129,94,494,766,"1,410","2,190",-27,17,-4,-18,181,257,520,780,-37,-5,-2,-26,147,201,410,620,157,186,190,185,543,790,"1,310","2,050",84,267,157,170,84,120,230,350,73,-81,33,14,459,670,"1,080","1,700",73,-81,33,14,459,670,"1,080","1,700",13,5,11,12,16,20,20,20,-25.66,N/A(IFRS),-1.22,-13.85,40.46,30.09,39.05,36.9,-43.52,N/A(IFRS),완전잠식,-108.77,62.17,37.21,46.86,44.6,-790,-104,-48,-361,"1,733","2,197","4,287","6,483", , , , ,32.56,27.22,13.95,9.22, , , , ,11.66,8.54,5.3,3.36,"3,259","3,259","6,792","7,019","9,479", , , 
897,53080,원방테크 (*),"42,750/ +200","4,294,143/ 0","41,311","1,454","1,928","1,603","2,284","3,269", , , ,155,186,191,193,217, , , ,99,139,162,143,137, , , ,992,"1,174","1,534","1,967","2,375", , , ,135,146,380,965,"1,019", , , ,857,"1,028","1,154","1,001","1,356", , , ,857,"1,025","1,153",991,"1,346", , , ,26,25,25,19,21, , , ,10.27,N/A(IFRS),11.96,8.15,6.29, , , ,12.02,N/A(IFRS),14.85,13,11.52, , , ,"1,925","2,697","3,219","3,545","3,361", , , , , , , ,14.61, , , , , , , ,1.56, , , ,"5,158","5,024","5,024","3,891","4,294", , , 
898,126340,비나텍 (*),"53,800/ +200","5,143,207/ 0","237,305",202,233,319,428,467,545,721,972,16,11,36,60,64,66,101,146,4,-54,4,44,46,66,92,131,272,219,380,466,806,"1,012","1,226","1,398",193,155,251,278,372,512,634,675,80,64,129,188,434,500,592,723,80,64,129,188,434,500,592,723,18,21,22,23,26,28,29,30,1.5,-22.11,N/A(IFRS),10.41,7.26,7.26,8.22,9.98,5.06,-75.41,N/A(IFRS),27.75,14.83,14.13,16.85,19.92,119,"-1,523",102,"1,008",992,"1,283","1,789","2,547",48.77,N/A,74.99,16.24,55.02,41.92,30.08,21.12,2.47,3.93,2.53,3.87,6.47,5.53,4.67,3.83,"2,949","3,534","4,292","4,463","5,143", , , 
899,359090,엔에이치스팩17호 (*),"2,155/ +0","7,010,000/ 0",0, , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,148, , , , , , , ,19, , , , , , , ,129, , , , , , , ,129, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , ,-7, , , , , , , ,N/A, , , , , , , ,1.11, , , , , , , ,"7,010", , , 
900,323990,박셀바이오 (*),"79,000/ -700","15,223,000/ 0",0, , ,0,0,0, , , , , ,-24,-40,-43, , , , , ,-64,-13,-40, , , , , ,123,100,355, , , , , ,245,10,8, , , , , ,-122,91,347, , , , , ,-122,91,347, , , , , ,18,33,38, , , , , , ,-11.25,-17.5, , , , , , ,완전잠식,-18.22, , , , , ,-694,-117,-293, , , , , , , ,N/A, , , , , , , ,72.61, , , , , ,"7,090","13,017","15,046", , , 
901,318410,비비씨 (*),"18,800/ +0","5,505,243/ 0",0,124,243,266,311,376, , , ,17,40,13,76,102, , , ,14,27,-58,50,85, , , ,200,391,401,471,872, , , ,77,191,389,192,208, , , ,123,200,13,280,665, , , ,123,200,13,280,665, , , ,9,10,6,22,27, , , ,7.55,9.08,N/A(IFRS),11.43,12.68, , , ,12.23,16.6,N/A(IFRS),34.14,18.04, , , ,408,646,"-1,394","1,183","1,829", , , , , , , ,10.06, , , , , , , ,1.5, , , ,"2,433","2,433","2,433","4,313","5,404", , , 
902,355150,교보10호기업인수목적 (*),"2,235/ -20","5,320,000/ 0",0, , , , ,0, , , , , , , ,-1, , , , , , , ,0, , , , , , , ,98, , , , , , , ,9, , , , , , , ,90, , , , , , , ,90, , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , ,-14, , , , , , , ,N/A, , , , , , , ,1.23, , , , , , , ,"5,320", , , 
903,347770,핌스 (*),"28,150/ -150","7,507,871/ 0",0, , ,122,378,405,710,"1,091","1,408", , ,22,65,41,106,205,316, , ,19,55,49,93,182,290, , ,66,279,674,805,"1,078","1,407", , ,27,130,181,213,279,318, , ,38,149,493,592,799,"1,089", , ,38,149,478,576,783,"1,072", , ,9,10,36,36,36,36, , , ,32.18,10.32,12.51,19.28,23.34, , , ,59.19,15.65,17.56,26.56,31.16, , ,"1,084","3,129",816,"1,239","2,404","3,849", , , , ,19.37,22.72,11.71,7.31, , , , ,2.4,3.67,2.7,1.97, , ,"1,723","1,914","7,265", , , 
904,291650,압타머사이언스 (*),"24,450/ +1,100","8,466,126/ 460,000","7,600",1,2,3,4,2, , , ,-14,-22,-34,-33,-39, , , ,-14,-60,-73,-39,-38, , , ,53,34,110,83,369, , , ,10,184,293,14,17, , , ,43,-150,-183,69,352, , , ,43,-150,-183,69,352, , , ,14,10,11,38,45, , , , ,N/A(IFRS),-102.15,-39.9,-16.99, , , , ,N/A(IFRS),완전잠식,완전잠식,-18.25, , , ,-300,"-1,008","-1,126",-537,-482, , , , , , , ,N/A, , , , , , , ,6.85, , , ,"3,284","3,551","3,983","7,049","8,466", , , 
905,294090,이오플로우 (*),"54,900/ -1,200","11,468,677/ 0","6,749",0,0,0,0,0, , , ,-15,-37,-71,-85,-129, , , ,-15,-81,-323,-94,-196, , , ,13,31,98,100,292, , , ,13,131,36,65,43, , , ,1,-101,61,35,248, , , ,1,-101,61,35,248, , , ,2,1,9,9,11, , , , ,N/A(IFRS),-503.86,-94.92,-100.32, , , , ,N/A(IFRS),완전잠식,-195.25,-138.74, , , ,-250,"-1,082","-3,736","-1,000","-1,938", , , , , , , ,N/A, , , , , , , ,32.95, , , ,"4,054","4,054","8,793","9,345","11,256", , , 
906,293490,카카오게임즈 (*),"83,700/ +1,100","74,674,030/ 0","119,600","1,013","2,013","4,208","3,910","4,955","8,990","12,566","14,942",101,386,472,350,665,"1,552","2,624","3,376",57,607,189,89,675,"1,376","2,344","2,967","1,311","3,301","5,457","5,918","13,099","19,933","24,105","28,724",631,"1,355","1,291","1,744","2,845","7,102","7,875","8,524",680,"1,946","4,166","4,174","10,254","12,830","16,230","20,200",668,"1,938","4,186","4,156","10,027","12,672","16,183","20,294",3,5,56,56,74,74,74,74,6.79,26.32,4.32,1.56,7.1,8.33,10.64,11.23,22.33,47.39,6.2,2.64,12.12,14.35,17.47,17.43,350,"2,178",352,197,"1,380","2,183","3,374","4,257", , , , ,33.33,38.34,24.8,19.66, , , , ,3.39,4.92,3.86,3.08,"25,025","45,047","55,829","55,829","74,117", , , 
907,347740,피엔케이피부임상연구센타 (*),"25,050/ -550","7,502,644/ 0",0, ,83,100,125,147, , , , ,43,46,57,72, , , , ,37,39,54,67, , , , ,136,176,280,599, , , , ,12,17,35,43, , , , ,124,160,245,556, , , , ,124,160,245,556, , , , ,6,6,7,38, , , , , ,24.88,23.57,15.29, , , , , ,27.4,26.58,16.77, , , , ,656,689,951,"1,024", , , , , , , ,22.27, , , , , , , ,3, , , , ,"5,636","5,636","6,108","7,503", , , 
908,353490,미래에셋대우스팩 5호 (*),"2,220/ -5","5,060,000/ 0",0, , , , ,0, , , , , , , ,-1, , , , , , , ,0, , , , , , , ,117, , , , , , , ,20, , , , , , , ,97, , , , , , , ,97, , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , ,-24, , , , , , , ,N/A, , , , , , , ,1.1, , , , , , , ,"5,060", , , 
909,332370,아이디피 (*),"9,110/ +220","6,636,863/ 0",0,163,167,191,254,187,267, , ,28,24,25,42,20,45, , ,26,16,23,36,16,32, , ,177,197,228,269,396, , , ,45,48,63,35,24, , , ,132,149,165,233,372, , , ,132,149,166,233,372, , , ,16,16,16,27,33, , , , ,8.56,10.8,14.54,4.87,8.08, , , ,11.37,14.53,18.09,5.35,8.6, , ,501,303,433,681,278,482, , , , , , ,28.42,18.89, , , , , , ,1.41, , , ,"4,871","4,881","4,881","5,319","6,637", , , 
910,331920,셀레믹스 (*),"19,750/ +500","8,164,148/ 0","797,529",16, ,25,51,53, , , ,-43, ,-41,-51,-49, , , ,-59, ,-195,-23,-47, , , ,42, ,88,72,306, , , ,135, ,390,20,12, , , ,-93, ,-302,52,294, , , ,-93, ,-302,52,294, , , ,5, ,5,32,41, , , ,-158.51, , ,-28.26,-24.94, , , ,완전잠식, , ,완전잠식,-27.31, , , ,"-1,699", ,"-5,067",-426,-671, , , , , , , ,N/A, , , , , , , ,7.45, , , ,"3,094", ,"3,094","6,444","8,106", , , 
911,950190,미투젠 (*),"22,550/ +400","13,579,892/ 0",0, ,76,808,970,"1,130","1,326","1,420","1,660", ,14,331,434,474,549,540,650, ,12,274,352,387,448,440,530, ,96,394,666,"1,230","1,520","1,810","2,190", ,84,100,225,147,170,180,210, ,12,295,441,"1,083","1,350","1,630","1,980", ,12,295,441,"1,083","1,350","1,630","1,980", ,55,57,59,575,570,570,570, , ,111.84,66.49,40.87,32.58,26.43,26.5, , ,178.68,95.87,50.84,34.52,29.53,29.36, ,560,"2,461","3,166","3,271","3,104","3,240","3,903", , , , ,8.1,7.27,6.96,5.78, , , , ,3.29,2.27,1.88,1.55, ,"11,133","11,133","11,133","13,452", , , 
912,337930,브랜드엑스코퍼레이션 (*),"14,050/ -250","19,734,831/ 0","2,269,160", , ,217,641,"1,397","2,399","3,107","3,822", , ,45,99,81,217,293,360, , ,36,76,70,180,231,282, , ,76,416,783,"1,033","1,283","1,587", , ,37,273,154,237,278,323, , ,39,142,629,797,"1,006","1,264", , ,39,142,629,790,"1,001","1,271", , ,1,1,95,95,95,95, , , ,31.05,11.67,19.82,19.97,19.63, , , ,84.04,18.14,24.96,25.66,24.65, , ,252,413,396,912,"1,164","1,419", , , , ,27,15.4,12.07,9.9, , , , ,3.1,3.38,2.69,2.13, , ,"14,200","14,200","19,063", , , 
913,60850,영림원소프트랩 (*),"12,150/ -100","8,131,000/ 0","873,760",253,263,304,380,439,476,570,650,14,13,15,43,43,45,50,60,11,11,-36,43,49,40,50,60,221,236,229,304,525,510,570,650,150,155,188,203,187,140,160,190,71,81,41,101,338,370,410,460,71,81,41,101,337,370,410,460,15,15,15,32,41,40,40,40,5.32,4.79,N/A(IFRS),16.28,11.74,7.73,9.26,9.84,17.53,14.49,N/A(IFRS),61.06,22.2,12.58,12.82,13.79,197,189,-611,714,686,547,615,738, , , , ,20.62,22.2,19.76,16.47, , , , ,3.41,2.67,2.41,2.15,"5,800","5,800","5,800","6,380","8,131", , , 
914,32300,한국파마 (*),"53,300/ -100","10,906,701/ 0",0,537,560,605,661,715, , , ,68,44,57,72,46, , , ,-1,25,38,55,32, , , ,493,532,622,667,813, , , ,333,354,400,401,348, , , ,160,178,222,266,465, , , ,160,178,222,266,465, , , ,42,42,44,44,55, , , ,N/A(IFRS),4.9,6.63,8.57,4.27, , , ,N/A(IFRS),14.87,19.12,22.64,8.64, , , ,-18,299,444,629,323, , , , , , , ,68.66, , , , , , , ,5.21, , , ,"8,400","8,400","8,785","8,785","10,907", , , 
915,357780,솔브레인 (*),"339,500/ +1,300","7,778,566/ 0","393,645", , , , ,"4,701","10,309","11,721","13,448", , , , ,"1,040","2,307","2,713","3,175", , , , ,649,"1,826","2,178","2,507", , , , ,"7,177","9,326","11,345","13,740", , , , ,"2,093","2,730","2,915","3,189", , , , ,"5,085","6,596","8,430","10,551", , , , ,"4,952","6,423","7,972","9,765", , , , ,39,39,39,39, , , , , ,22.12,21.07,19.98, , , , , ,31.38,29.59,27.64, , , , ,"8,133","22,948","27,383","31,510", , , , ,33.48,14.79,12.4,10.77, , , , ,4.25,4.09,3.3,2.7, , , , ,"7,779", , , 
916,164060,이루다 (*),"15,700/ -1,100","7,815,060/ 0","75,000",103,133,178,214,210, , , ,2,10,24,35,36, , , ,5,7,20,29,47, , , ,141,150,189,241,453, , , ,56,56,76,98,146, , , ,86,93,113,143,308, , , ,86,93,113,143,308, , , ,29,29,29,29,39, , , ,3.58,4.88,12,13.67,13.47, , , ,7.41,7.93,19.71,22.96,20.74, , , ,149,122,350,505,710, , , , , , , ,18.31, , , , , , , ,3.29, , , ,"5,805","5,805","5,805","5,820","7,795", , , 
917,332570,와이팜 (*),"9,410/ -50","37,141,356/ 0","3,342,725",212,369,646,"1,254",374,990,"1,907","2,190",28,23,49,120,-37,124,280,340,28,7,32,113,93,120,240,290,217,218,402,546,"1,049","1,690","2,000","2,300",14,259,66,81,75,640,740,780,203,-41,336,464,974,"1,050","1,260","1,520",203,-41,336,464,969,"1,050","1,260","1,520",14,15,33,33,186,190,190,190,15.29,N/A(IFRS),10.46,23.91,11.66,8.76,13.01,13.49,17.85,N/A(IFRS),21.98,28.33,12.97,11.89,20.78,20.86,161,42,167,339,265,323,646,781, , , , ,49.4,29.13,14.56,12.05, , , , ,5.02,3.33,2.77,2.3,"14,733","14,733","33,427","33,427","37,141", , , 
918,101360,이엔드디 (*),"35,350/ +800","10,320,383/ 0","117,000",262,182,281,583,923, , , ,-13,-24,8,98,164, , , ,-15,-37,-10,62,36, , , ,350,312,296,381,735, , , ,282,282,253,277,123, , , ,68,30,43,105,612, , , ,68,30,43,105,612, , , ,31,31,33,33,52, , , ,-4.33,-11.31,-3.43,18.29,6.38, , , ,-20.32,-76.2,-28.38,83.76,9.95, , , ,-229,-561,-156,929,400, , , ,N/A,N/A,N/A,3.36,88.01, , , ,3.3,1.17,0.46,1.91,5.9, , , ,"6,140","6,140","6,140","6,140","10,320", , , 
919,353070,에이치엠씨제4호스팩 (*),"2,200/ -20","4,310,000/ 0",0, , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,96, , , , , , , ,14, , , , , , , ,83, , , , , , , ,83, , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , ,-7, , , , , , , ,N/A, , , , , , , ,1.07, , , , , , , ,"4,310", , , 
920,347890,엠투아이 (*),"10,550/ +150","16,798,204/ 0",0,172,234,224,247,332, , , ,31,61,52,67,108, , , ,30,53,47,60,100, , , ,317,371,402,430,663, , , ,41,44,41,58,68, , , ,276,326,360,372,595, , , ,276,326,360,372,595, , , ,6,6,6,8,8, , , ,10.11,15.34,N/A(IFRS),14.43,18.21, , , ,11.3,17.51,N/A(IFRS),16.4,20.58, , , ,198,352,317,400,630, , , , , , , ,13.88, , , , , , , ,2.47, , , ,"15,000","15,000","15,000","15,000","16,798", , , 
921,298540,더네이쳐홀딩스 (*),"33,500/ -50","14,544,656/ 0","259,920",401,690,"1,412","2,353","2,909","3,752","4,363", ,28,48,202,398,552,671,835, ,19,-15,86,161,404,374,665, ,186,398,724,"1,335","2,585","3,150","3,800", ,132,372,562,581,938,990,970, ,53,26,161,754,"1,647","2,160","2,830", ,53,26,161,754,"1,647","2,160","2,830", ,2,2,2,31,36,40,40, , ,N/A(IFRS),15.36,15.68,20.61,13.03,19.14, , ,N/A(IFRS),91.73,35.28,33.66,27.32,26.85, ,243,-180,930,"1,498","3,035","3,575","4,607", , , , , ,6.52,9.37,7.27, , , , , ,1.75,2.26,1.72, ,"8,000","8,000","8,977","12,365","14,545", , , 
922,225220,제놀루션 (*),"17,850/ +200","9,567,180/ 0",0,15,24,31,40,853, , , ,1,6,2,1,540, , , ,1,6,13,-3,320, , , ,40,47,111,134,838, , , ,6,7,82,108,225, , , ,34,40,29,26,613, , , ,34,40,29,26,613, , , ,17,17,16,16,24, , , ,2.86,13.27,N/A(IFRS),-2.34,65.94, , , ,3.35,15.54,N/A(IFRS),-10.29,100.25, , , ,15,93,194,-41,"3,927", , , ,207.19,33.65,14.21,N/A,3.49, , , ,5.49,4.89,6.6,8.46,2.14, , , ,"5,622","5,794","6,294","6,294","9,567", , , 
923,304100,솔트룩스 (*),"34,500/ -650","5,080,915/ 0","3,200",99,122,155,184,217, , , ,2,6,2,0,4, , , ,2,2,1,8,5, , , ,84,156,422,427,643, , , ,28,158,153,40,61, , , ,56,-1,269,388,582, , , ,56,-2,268,387,582, , , ,12,9,17,21,25, , , ,2.16,N/A(IFRS),0.18,1.95,0.96, , , ,3.33,N/A(IFRS),0.58,2.63,1.11, , , ,77,67,21,203,117, , , , , , , ,295.14, , , , , , , ,3, , , ,"1,800","1,866","3,439","4,257","5,081", , , 
924,343510,하나금융16호스팩 (*),"2,400/ +15","4,010,000/ 0",0, , , ,0,0, , , , , , ,0,0, , , , , , ,0,0, , , , , , ,15,83, , , , , , ,9,9, , , , , , ,6,74, , , , , , ,6,74, , , , , , ,1,4, , , , , , , ,-0.57, , , , , , , ,-0.71, , , , , , ,-5,-13, , , , , , , ,N/A, , , , , , , ,1.13, , , , , , ,510,"4,010", , , 
925,277880,티에스아이 (*),"9,260/ +30","18,534,230/ 0",20,163,157,661,610,457, , , ,16,0,51,58,-9, , , ,18,-14,21,-121,-16, , , ,163,209,354,548,675, , , ,124,180,283,303,304, , , ,39,29,71,245,372, , , ,39,29,70,244,371, , , ,29,28,29,39,46, , , ,14.25,N/A(IFRS),7.58,-26.85,-2.64, , , ,81.1,N/A(IFRS),42.16,-77.28,-5.28, , , ,167,-130,178,-818,-96, , , , ,N/A,15.71,N/A,N/A, , , , ,8.86,5.02,4.34,2.96, , , ,"10,639","11,039","11,684","15,580","18,534", , , 
926,262260,에이프로 (*),"40,500/ +350","6,880,626/ 0","17,852",128,223,606,674,490,825,"1,075","1,222",8,-6,72,104,11,53,138,177,1,-51,71,76,9,50,130,170,84,173,362,497,741,760,860,"1,000",60,266,285,285,156,120,90,60,23,-94,78,212,586,640,770,940,23,-94,78,212,584,640,770,940,15,11,16,25,34,30,30,30,1.31,N/A(IFRS),26.55,17.64,1.51,6.66,16.05,18.28,4.61,N/A(IFRS),완전잠식,52.43,2.38,8.5,19.15,20.35,24,"-1,148","1,504","1,385",154,756,"1,962","2,529", , , , ,241.3,53.59,20.64,16.02, , , , ,4.38,4.35,3.62,2.96,"3,150","3,150","4,900","4,937","6,881", , , 
927,351340,IBKS제13호스팩 (*),"2,440/ -40","5,170,000/ 0",0, , , , ,0, , , , , , , ,0, , , , , , , ,0, , , , , , , ,118, , , , , , , ,19, , , , , , , ,99, , , , , , , ,99, , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , ,-16, , , , , , , ,N/A, , , , , , , ,1.1, , , , , , , ,"5,170", , , 
928,950200,소마젠 (*),"12,750/ -50","18,963,553/ 0","3,000", , ,209,201,190, , , , , ,-30,-49,-103, , , , , ,-26,-231,-216, , , , , ,211,283,506, , , , , ,246,472,134, , , , , ,-34,-189,372, , , , , ,-34,-189,372, , , , , ,12,14,21, , , , , , ,-93.37,-54.73, , , , , , ,완전잠식,-235.28, , , , , ,-249,"-1,853","-1,292", , , , , , , ,N/A, , , , , , , ,9.2, , , , , ,"10,386","12,451","18,927", , , 
929,290520,신도기연 (*),"17,450/ -350","8,061,280/ 0",0,525,619,497,848,416, , , ,58,157,26,169,-30, , , ,58,147,36,147,-45, , , ,286,444,494,766,835, , , ,220,198,186,292,200, , , ,65,246,308,474,635, , , ,65,246,308,474,635, , , ,10,10,11,34,40, , , , ,40.37,7.58,23.24,-5.58, , , , ,94.76,12.83,37.44,-8.05, , , ,947,"2,356",536,"2,179",-604, , , , , , , ,N/A, , , , , , , ,2.64, , , ,"5,772","6,098","6,389","6,722","8,061", , , 
930,330350,위더스제약 (*),"14,850/ +600","13,188,622/ 0",0,495,509,517,524,262, , , ,112,113,109,97,14, , , ,73,85,87,80,19, , , ,643,690,763,"1,070","1,062", , , ,290,249,239,303,293, , , ,352,441,524,768,769, , , ,352,441,524,768,769, , , ,16,16,16,18,18, , , ,N/A(IFRS),12.74,11.92,8.77,1.75, , , ,N/A(IFRS),21.4,17.95,12.44,2.43, , , ,631,730,745,691,142, , , , , , , ,101.47, , , , , , , ,2.46, , , ,"11,625","11,625","11,625","13,189","13,189", , , 
